year,100011
time,100101
people,101110
way,0100010
day,0110000
man,0111001
thing,0111110
woman,1100001
child,1101001
life,1101011
school,00000011
world,00000100
student,00101011
family,00111010
group,01001110
country,01010111
problem,01011111
part,01101101
company,01110110
case,01111011
system,01111110
week,10000001
government,10010011
mr,10011101
number,10100001
night,10100100
room,10111110
home,11000101
lot,11000111
mother,11001000
eye,11001010
water,11001111
area,11011000
money,11011100
fact,11011110
story,11100000
right,11100010
month,11100100
kind,11111010
job,11111011
business,11111101
book,11111110
word,000000011
side,000000100
game,000010111
service,000011000
father,000011011
friend,000100100
power,000101000
hour,000101111
member,000111010
president,000111101
law,000111111
car,001000000
community,001000011
city,001000101
team,001001001
information,001011001
minute,001011100
body,001100101
door,001100111
idea,001110000
level,001110010
parent,001111101
art,010000100
war,010000110
health,010000111
teacher,010010011
others,010010101
history,010011010
office,010011011
morning,010100000
education,010100010
person,010100011
party,010100111
guy,010110100
girl,010110101
moment,010111000
food,011000111
policy,011001001
boy,011001011
foot,011001100
reason,011001111
air,011010100
music,011100011
nation,100010001
college,100010011
interest,100010110
effect,100110010
death,101000000
development,101001100
class,101001111
voice,101011101
role,101100001
field,101101001
effort,101111001
drug,101111110
police,110000001
leader,110001000
relationship,110010110
heart,110010111
price,110011001
season,110100001
wife,110100011
difference,110110010
decision,110110111
player,111001010
society,111001100
road,111001111
son,111010000
tax,111010011
action,111011010
town,111011100
director,111011101
official,111100100
building,111101010
activity,111101111
data,0000000011
site,0000010101
event,0000011000
space,0000011010
paper,0000011011
table,0000011100
couple,0000011111
ground,0000100001
center,0000100010
oil,0000100011
court,0000100110
industry,0000110010
situation,0000110101
patient,0000111010
image,0000111011
street,0001000010
republican,0001000011
phone,0001000101
wall,0001000111
product,0001001101
news,0001010101
worker,0001010111
technology,0001011011
hair,0001011100
doctor,0001100000
movie,0001100001
piece,0001100101
type,0001101010
window,0001101100
north,0001101110
baby,0001110000
computer,0001110110
organization,0001110111
culture,0001111001
source,0001111101
film,0010000011
tree,0010000100
century,0010010100
evidence,0010010111
attention,0010011001
period,0010100010
campaign,0010100110
energy,0010101000
condition,0010110101
brother,0010110111
population,0010111111
term,0011000000
congress,0011000010
chance,0011000110
behavior,0011001001
summer,0011001101
floor,0011010000
material,0011010010
opportunity,0011010011
administration,0011010110
subject,0011011101
economy,0011100011
south,0011101100
choice,0011101111
daughter,0011110000
letter,0011110001
bed,0011110011
husband,0011110101
performance,0011111001
defense,0011111101
church,0100000001
sport,0100000110
bank,0100000111
security,0100001010
goal,0100011010
hospital,0100011100
board,0100011111
author,0100100010
west,0100100100
nature,0100101001
officer,0100110000
factor,0100110001
agency,0101000011
blood,0101010010
response,0101010011
movement,0101010101
second,0101011001
page,0101011010
language,0101100001
article,0101110010
individual,0101110101
series,0101111000
artist,0101111011
stock,0110001000
analysis,0110010001
decade,0110010101
cup,0110011011
resource,0110100000
treatment,0110100001
animal,0110100101
east,0110100111
dog,0110101111
quality,0110110001
career,0110110011
size,0110111010
media,0110111100
thought,0111000001
ability,0111000010
election,0111010000
scene,0111010001
disease,0111010011
region,0111010111
growth,0111011100
pressure,0111011110
degree,0111100010
success,0111100100
